sampling_method,model,summary,HARS,NoSampling,Balance,[14]
SMOTETomek,svmlinear,mean,0.591780700130015,0.447407400481232,0.573002435788787,
SMOTETomek,svmlinear,median,0.638265498699914,0.613295530696411,0.638123529963931,
SMOTETomek,svmlinear,std,0.247105066639673,0.34686436057565,0.245295416676234,
SMOTETomek,dt,mean,0.605639350334378,0.601717681575604,0.587151110476796,
SMOTETomek,dt,median,0.622787457202107,0.637141880356944,0.619375115332552,
SMOTETomek,dt,std,0.214861056338121,0.21737497015713,0.225818884615618,
SMOTETomek,svmrbf,mean,0.62091826094252,0.474659384290488,0.616415831567627,
SMOTETomek,svmrbf,median,0.694122069261188,0.582299677362932,0.678955914560205,
SMOTETomek,svmrbf,std,0.237419912760464,0.334423302864451,0.227904094265735,
SMOTETomek,rf,mean,0.640720346288503,0.575803199975224,0.635651737837202,
SMOTETomek,rf,median,0.680998061276696,0.660459552631139,0.683954111914768,
SMOTETomek,rf,std,0.232050369692611,0.293723165645992,0.242065608917118,
SMOTETomek,xgboost,mean,0.644385659615862,0.611455251510375,0.652607966657314,
SMOTETomek,xgboost,median,0.672989242403866,0.666594355351299,0.683366028738044,
SMOTETomek,xgboost,std,0.222615779788531,0.257222154884524,0.215590084384336,
SMOTETomek,mlp,mean,0.630425703098002,0.597819420767434,0.615666139275405,
SMOTETomek,mlp,median,0.677892595018023,0.660468261571934,0.655105187857334,
SMOTETomek,mlp,std,0.208024429239205,0.241724033058906,0.215871799178241,
SMOTETomek,lr,mean,0.605010020615687,0.53024674882404,0.575386183413173,
SMOTETomek,lr,median,0.644214659827963,0.625601011257828,0.643192413962517,
SMOTETomek,lr,std,0.225040503520112,0.28228039981134,0.240629591848228,
SMOTETomek,knn,mean,0.610294362637105,0.524444513292342,0.590907214204504,
SMOTETomek,knn,median,0.654996323888307,0.590923001676239,0.632668315119265,
SMOTETomek,knn,std,0.202906387851929,0.287804487939138,0.193625753124315,
ADASYN,svmlinear,mean,0.583830639722915,0.447407400481232,0.557733374579643,0.580649176477049
ADASYN,svmlinear,median,0.640272995931298,0.613295530696411,0.626076810359909,0.620790604024064
ADASYN,svmlinear,std,0.251356790839977,0.34686436057565,0.240031862240578,0.236359312077044
ADASYN,dt,mean,0.598461771395129,0.601717681575604,0.587029245332708,0.595739098993763
ADASYN,dt,median,0.61513461099435,0.637141880356944,0.610944136141046,0.620359781668444
ADASYN,dt,std,0.210113659331578,0.21737497015713,0.220666367837736,0.216474096424792
ADASYN,svmrbf,mean,0.618811399996699,0.474659384290488,0.602459206522033,0.63117152391115
ADASYN,svmrbf,median,0.691219215200707,0.582299677362932,0.67006555606104,0.68607055907412
ADASYN,svmrbf,std,0.240161382538571,0.334423302864451,0.225807099165408,0.21648793288775
ADASYN,rf,mean,0.640176035294014,0.575803199975224,0.630643653319723,0.63997539123066
ADASYN,rf,median,0.680429858412072,0.660459552631139,0.686226228350257,0.681986842336382
ADASYN,rf,std,0.234266886686171,0.293723165645992,0.247165114712245,0.241210819900072
