sampling_method,model,summary,HARS,Balance,[14]
SMOTEENN,xgboost,mean,0.923521581419021,0.915876966271431,
SMOTEENN,xgboost,median,0.951089597640903,0.944968592657889,
SMOTEENN,xgboost,std,0.0725964074692711,0.0707789755109474,
SMOTEENN,mlp,mean,0.90840257195847,0.90913969843726,
SMOTEENN,mlp,median,0.937831876203379,0.931379536771477,
SMOTEENN,mlp,std,0.0838343054666766,0.0709940790961836,
SMOTEENN,knn,mean,0.919447403700704,0.889192780225996,
SMOTEENN,knn,median,0.923050960068362,0.88593071470582,
SMOTEENN,knn,std,0.0638423131223073,0.0819182958608368,
SMOTEENN,dt,mean,0.899034067560011,0.899988530996177,
SMOTEENN,dt,median,0.910663808913798,0.918362802708692,
SMOTEENN,dt,std,0.0795006268035364,0.0757309812157801,
SMOTEENN,rf,mean,0.933256434174234,0.93280182799992,
SMOTEENN,rf,median,0.953602249386087,0.945942836129749,
SMOTEENN,rf,std,0.0640630668600314,0.0567423714969414,
SMOTEENN,svmlinear,mean,0.889469569365279,0.879757011796034,
SMOTEENN,svmlinear,median,0.912539497354782,0.883891568050261,
SMOTEENN,svmlinear,std,0.114619742626477,0.0965930809324668,
SMOTEENN,svmrbf,mean,0.925737905603006,0.921798924906031,
SMOTEENN,svmrbf,median,0.938402841773504,0.931279536589664,
SMOTEENN,svmrbf,std,0.0683786544896344,0.0620828437861151,
SMOTEENN,lr,mean,0.884497293380668,0.880129185874131,
SMOTEENN,lr,median,0.904213249640644,0.886083567790132,
SMOTEENN,lr,std,0.113135240426677,0.0956307494939294,
SMOTE,xgboost,mean,0.923521581419021,0.928193333248428,0.926182676531073
SMOTE,xgboost,median,0.951089597640903,0.951662383707085,0.949653013778525
SMOTE,xgboost,std,0.0725964074692711,0.0618615539938421,0.070363509707289
SMOTE,mlp,mean,0.90840257195847,0.9165693217183,0.91633722905824
SMOTE,mlp,median,0.937831876203379,0.927929354047073,0.936942038104374
SMOTE,mlp,std,0.0838343054666766,0.0699096543732632,0.0677454684209537
SMOTE,knn,mean,0.919447403700704,0.903433114690577,0.912762455605302
SMOTE,knn,median,0.923050960068362,0.89483563702899,0.913446609607911
SMOTE,knn,std,0.0638423131223073,0.0769654779817808,0.0722267907914006
SMOTE,dt,mean,0.899034067560011,0.900319431592185,0.902943937913249
SMOTE,dt,median,0.910663808913798,0.912319466473766,0.916469873375324
SMOTE,dt,std,0.0795006268035364,0.0778352302413024,0.0782820754632524
SMOTE,rf,mean,0.933256434174234,0.942057350938169,0.943133532596884
SMOTE,rf,median,0.953602249386087,0.95638284708083,0.954583710185966
SMOTE,rf,std,0.0640630668600314,0.0519324028243697,0.0536221908185264
SMOTE,svmlinear,mean,0.889469569365279,0.883816711273141,0.892788834823881
SMOTE,svmlinear,median,0.912539497354782,0.899739777736475,0.905360310591031
SMOTE,svmlinear,std,0.114619742626477,0.0987929710212331,0.0924302650229288
SMOTE,svmrbf,mean,0.925737905603006,0.933481793646553,0.940226565541152
SMOTE,svmrbf,median,0.938402841773504,0.938851110842937,0.941845186013802
