sampling_method,model,summary,HARS,NoSampling,Balance,[14]
SMOTEENN,xgboost,mean,0.602358882693988,0.584813762488197,0.630544292767931,
SMOTEENN,xgboost,median,0.592358687857603,0.654333928704181,0.666879358358464,
SMOTEENN,xgboost,std,0.192177350975656,0.254438756378653,0.18328236837513,
SMOTEENN,mlp,mean,0.599788257134583,0.572036302048269,0.599635486285402,
SMOTEENN,mlp,median,0.656775842908571,0.62768178460154,0.642351109308617,
SMOTEENN,mlp,std,0.191089308928644,0.237884569986835,0.182590070056215,
SMOTEENN,knn,mean,0.562995461133417,0.489295312531379,0.548003554053062,
SMOTEENN,knn,median,0.594626617921649,0.572942919408062,0.586620140033873,
SMOTEENN,knn,std,0.191960553165686,0.27802789440781,0.18973491903819,
SMOTEENN,dt,mean,0.580564969374713,0.577043717451567,0.570036176051292,
SMOTEENN,dt,median,0.615352655516023,0.615564644576747,0.60816051289589,
SMOTEENN,dt,std,0.183821779669122,0.212312402139021,0.207240292053184,
SMOTEENN,rf,mean,0.588896181313692,0.544709571299196,0.610610030176356,
SMOTEENN,rf,median,0.620996687627374,0.647358131416434,0.657979074977063,
SMOTEENN,rf,std,0.207693064067467,0.289832213297496,0.21054752059765,
SMOTEENN,svmlinear,mean,0.554563697222854,0.40420549428782,0.539161774746295,
SMOTEENN,svmlinear,median,0.605079145257727,0.545505079079674,0.602772253953596,
SMOTEENN,svmlinear,std,0.236060507269609,0.333720982503287,0.229608121597412,
SMOTEENN,svmrbf,mean,0.553530479175277,0.433333952563072,0.581020479528737,
SMOTEENN,svmrbf,median,0.581797929628102,0.531352066221865,0.640332395001719,
SMOTEENN,svmrbf,std,0.235139038784616,0.322254000751016,0.208999727648126,
SMOTEENN,lr,mean,0.564338863611456,0.494885181524222,0.53878829380865,
SMOTEENN,lr,median,0.621178286351053,0.616420068261348,0.598444293936828,
SMOTEENN,lr,std,0.219148025053126,0.271166527311361,0.229542607912343,
SMOTE,xgboost,mean,0.618192101568882,0.584813762488197,0.630393632760165,0.629033413681185
SMOTE,xgboost,median,0.662813711600862,0.654333928704181,0.671962598528187,0.667737031099892
SMOTE,xgboost,std,0.223194594961649,0.254438756378653,0.214375152121876,0.210948931209339
SMOTE,mlp,mean,0.601250537351021,0.572036302048269,0.587891382510876,0.601150636197104
SMOTE,mlp,median,0.653152018335424,0.62768178460154,0.629021640492417,0.625561649472383
SMOTE,mlp,std,0.205521106160459,0.237884569986835,0.211298649164438,0.203749493047274
SMOTE,knn,mean,0.583023903502715,0.489295312531379,0.566798360142347,0.574909007184302
SMOTE,knn,median,0.641201296076482,0.572942919408062,0.612165721387758,0.621695307962465
SMOTE,knn,std,0.189546492269984,0.27802789440781,0.187915524746243,0.190408455065417
SMOTE,dt,mean,0.577471680094846,0.577043717451567,0.560694753091416,0.569137274990737
SMOTE,dt,median,0.610752603651333,0.615564644576747,0.589141234860155,0.606521880874201
SMOTE,dt,std,0.207912890637045,0.212312402139021,0.221504274010433,0.211373419725637
SMOTE,rf,mean,0.615110711215889,0.544709571299196,0.61121214922138,0.618199184636451
SMOTE,rf,median,0.672047461282261,0.647358131416434,0.676806978795886,0.671361398377435
SMOTE,rf,std,0.233748378404316,0.289832213297496,0.239512842820175,0.236342129099892
SMOTE,svmlinear,mean,0.5567487943403,0.40420549428782,0.544510749723673,0.568160793345525
SMOTE,svmlinear,median,0.61988544472702,0.545505079079674,0.59966639375398,0.615302914268228
SMOTE,svmlinear,std,0.249217070550589,0.333720982503287,0.238973884101217,0.228834709937568
SMOTE,svmrbf,mean,0.5893833549844,0.433333952563072,0.59091093880082,0.610618447051382
SMOTE,svmrbf,median,0.665567712534568,0.531352066221865,0.66836382687191,0.673209818393366
SMOTE,svmrbf,std,0.239383599377352,0.322254000751016,0.222809166586995,0.211675778966531
SMOTE,lr,mean,0.579791411604058,0.494885181524222,0.549977468966746,0.568649912516606
SMOTE,lr,median,0.638328436713371,0.616420068261348,0.612126527372171,0.636697175960465
SMOTE,lr,std,0.217024123107374,0.271166527311361,0.236630880129155,0.229720133123094
ADASYN,xgboost,mean,0.620359959070386,0.584813762488197,0.625625184398797,0.631861747294206
ADASYN,xgboost,median,0.660416870586399,0.654333928704181,0.669475996856903,0.674206826694939
ADASYN,xgboost,std,0.220253192255781,0.254438756378653,0.217121129956164,0.210444164023851
ADASYN,mlp,mean,0.600171526418779,0.572036302048269,0.593817148980919,0.590719897186616
ADASYN,mlp,median,0.652941972074299,0.62768178460154,0.625666127015254,0.618493220639463
ADASYN,mlp,std,0.209037000594772,0.237884569986835,0.203989267963009,0.210599019099773
ADASYN,knn,mean,0.575699782455112,0.489295312531379,0.561506831468301,0.568836982310023
ADASYN,knn,median,0.627388276700387,0.572942919408062,0.607095967043592,0.615901524700164
ADASYN,knn,std,0.194978624619019,0.27802789440781,0.186799581646909,0.188867415136269
ADASYN,dt,mean,0.572509786437137,0.577043717451567,0.561822339328874,0.571154153504017
ADASYN,dt,median,0.600733642541215,0.615564644576747,0.598533241338807,0.607682513211097
ADASYN,dt,std,0.208233599586789,0.212312402139021,0.215152676038785,0.211228473335891
ADASYN,rf,mean,0.614031461312774,0.544709571299196,0.605754877096563,0.615461375621855
ADASYN,rf,median,0.659054713716229,0.647358131416434,0.6722517545776,0.665898756890253
ADASYN,rf,std,0.231596633837423,0.289832213297496,0.245294823269487,0.239166108858556
ADASYN,svmlinear,mean,0.548541323686151,0.40420549428782,0.53418122904578,0.555013059997803
ADASYN,svmlinear,median,0.614077071701553,0.545505079079674,0.595262353175939,0.611918280068146
ADASYN,svmlinear,std,0.251422996195338,0.333720982503287,0.236841271931554,0.231546017646908
ADASYN,svmrbf,mean,0.584175113065337,0.433333952563072,0.581646279132671,0.607506676661951
ADASYN,svmrbf,median,0.673465059002013,0.531352066221865,0.658258092638835,0.673054197346612
ADASYN,svmrbf,std,0.244506796619439,0.322254000751016,0.224727456682596,0.212210019368221
ADASYN,lr,mean,0.573189425122467,0.494885181524222,0.539578776226021,0.560995208664158
ADASYN,lr,median,0.614884074145778,0.616420068261348,0.606353422235798,0.621931279559574
ADASYN,lr,std,0.21946553072986,0.271166527311361,0.235314739048205,0.229709253512226
RandomOverSampler,xgboost,mean,0.601147620546606,0.584813762488197,0.612005601626166,0.609424312992691
RandomOverSampler,xgboost,median,0.65813927298187,0.654333928704181,0.668246824367022,0.665965813188848
RandomOverSampler,xgboost,std,0.246428581322269,0.254438756378653,0.235917427974089,0.239329261372078
RandomOverSampler,mlp,mean,0.600574119215619,0.572036302048269,0.601058841694485,0.600952760144682
RandomOverSampler,mlp,median,0.658288524424725,0.62768178460154,0.632930089056162,0.627710066610632
RandomOverSampler,mlp,std,0.203049903481471,0.237884569986835,0.19792611364158,0.205111077125394
