sampling_method,model,summary,HARS,NoSampling,Balance,[14]
SMOTE,dt,median,0.496066566247243,0.491009845455803,0.502575919030559,0.497676864219302
SMOTE,dt,std,0.21141216743833,0.208614987256515,0.213740183413517,0.209029186170582
SMOTE,rf,mean,0.470514486054069,0.399425886203362,0.510439895572425,0.505307165882268
SMOTE,rf,median,0.514599552606309,0.451282002032694,0.539704400393015,0.53552259193429
SMOTE,rf,std,0.262752386687713,0.294340517270588,0.247431429668319,0.244929683494848
SMOTE,svmlinear,mean,0.397781079573998,0.235119772386355,0.46517792188016,0.481908700177269
SMOTE,svmlinear,median,0.466400555038894,0.070582074306037,0.560424528153908,0.566235201482857
SMOTE,svmlinear,std,0.259812656889338,0.281211587761494,0.229599697372235,0.221991255467906
SMOTE,svmrbf,mean,0.392284331734479,0.24431184167214,0.496028317276615,0.496302887856096
SMOTE,svmrbf,median,0.497096150262028,0.0630127173160914,0.561836599324655,0.52974402241402
SMOTE,svmrbf,std,0.262956949525244,0.281559743352674,0.210050865212625,0.205747073594884
SMOTE,lr,mean,0.44714596930808,0.35319893005705,0.468407194151419,0.47749802545569
SMOTE,lr,median,0.53570547619495,0.368490537821425,0.555403995559949,0.557564937658662
SMOTE,lr,std,0.227705089212312,0.254894091989131,0.233879746905785,0.222414100929247
ADASYN,xgboost,mean,0.512100418924403,0.480354841781338,0.523561081539292,0.527889361106957
ADASYN,xgboost,median,0.526474998219848,0.515346676665597,0.532977710796377,0.52430028139032
ADASYN,xgboost,std,0.233545053121729,0.250263744467734,0.220845998997784,0.213699929583232
ADASYN,mlp,mean,0.491421432587115,0.440461717960469,0.492726129155248,0.488785308309888
ADASYN,mlp,median,0.538276628044054,0.459417159267484,0.526991620599477,0.538595212863211
ADASYN,mlp,std,0.226892576009415,0.245467019286614,0.208721241808455,0.216419300460924
ADASYN,knn,mean,0.462988477066179,0.343859572838809,0.466097294522653,0.470286917456574
ADASYN,knn,median,0.509499105765476,0.407754266896012,0.523928120564322,0.510334129307156
ADASYN,knn,std,0.191928701700809,0.276529258700016,0.186996958595008,0.188230310935173
ADASYN,dt,mean,0.483794504581959,0.474381136602911,0.471992782161888,0.473401894128438
ADASYN,dt,median,0.500644997539502,0.491009845455803,0.496131939321575,0.504872017402113
ADASYN,dt,std,0.212823453578086,0.208614987256515,0.213512785211042,0.209008440154784
ADASYN,rf,mean,0.471501585167671,0.399425886203362,0.504016050855458,0.50443373029724
ADASYN,rf,median,0.527909599220207,0.451282002032694,0.535999041439916,0.52734888941546
ADASYN,rf,std,0.268985352026144,0.294340517270588,0.251180743337808,0.248940038372689
