sampling_method,model,summary,HARS,Balance,[14]
SMOTEENN,xgboost,mean,0.821674234365123,0.830556666680626,
SMOTEENN,xgboost,median,0.863222351269614,0.847115785216048,
SMOTEENN,xgboost,std,0.191508915926414,0.141528303473535,
SMOTEENN,mlp,mean,0.819362708557427,0.815624150990231,
SMOTEENN,mlp,median,0.837546403161756,0.829804340956449,
SMOTEENN,mlp,std,0.150515907059611,0.149224085976917,
SMOTEENN,knn,mean,0.795657685667333,0.782147426952926,
SMOTEENN,knn,median,0.853115178109939,0.823569268763268,
SMOTEENN,knn,std,0.196298153739563,0.168976763927595,
SMOTEENN,dt,mean,0.803674167881842,0.793714460047174,
SMOTEENN,dt,median,0.819463218819981,0.828255122824387,
SMOTEENN,dt,std,0.164067607333416,0.173074718804569,
SMOTEENN,rf,mean,0.827489835139798,0.833924155086581,
SMOTEENN,rf,median,0.876728544816585,0.877687958352679,
SMOTEENN,rf,std,0.186027497457772,0.160506057568643,
SMOTEENN,svmlinear,mean,0.752000720158326,0.767762893354281,
SMOTEENN,svmlinear,median,0.834893043824219,0.780295806715914,
SMOTEENN,svmlinear,std,0.264819573874278,0.20254409253769,
SMOTEENN,svmrbf,mean,0.79383275684257,0.818162579605916,
SMOTEENN,svmrbf,median,0.861024965048252,0.855396833457134,
SMOTEENN,svmrbf,std,0.224696886324538,0.169609579943329,
SMOTEENN,lr,mean,0.776703441037505,0.769442361399326,
SMOTEENN,lr,median,0.829358947479627,0.780596417760601,
SMOTEENN,lr,std,0.202490491193329,0.198964540220638,
SMOTE,xgboost,mean,0.821674234365123,0.845157683853578,0.84447686281797
SMOTE,xgboost,median,0.863222351269614,0.866262460893214,0.874613814519218
SMOTE,xgboost,std,0.191508915926414,0.145960507138683,0.142090261111573
SMOTE,mlp,mean,0.819362708557427,0.817558695025939,0.826489694650961
SMOTE,mlp,median,0.837546403161756,0.841454758128799,0.834286993217881
SMOTE,mlp,std,0.150515907059611,0.160021270986264,0.143708559922796
SMOTE,knn,mean,0.795657685667333,0.79976769862324,0.810928399383562
SMOTE,knn,median,0.853115178109939,0.833769075116599,0.841872269961853
SMOTE,knn,std,0.196298153739563,0.158035717033366,0.154186579905906
SMOTE,dt,mean,0.803674167881842,0.79237293360332,0.798515047777678
SMOTE,dt,median,0.819463218819981,0.817886016765561,0.820085794451058
SMOTE,dt,std,0.164067607333416,0.186189102071356,0.174295672608439
SMOTE,rf,mean,0.827489835139798,0.842025634386936,0.850941215550688
SMOTE,rf,median,0.876728544816585,0.884325040683709,0.893337072872688
SMOTE,rf,std,0.186027497457772,0.1721541689724,0.156984833851729
SMOTE,svmlinear,mean,0.752000720158326,0.770784914009682,0.789147118167316
SMOTE,svmlinear,median,0.834893043824219,0.793928046597127,0.821369008285389
SMOTE,svmlinear,std,0.264819573874278,0.209862237544934,0.192312265218719
SMOTE,svmrbf,mean,0.79383275684257,0.825791257419802,0.846621104978333
SMOTE,svmrbf,median,0.861024965048252,0.870695973850697,0.893962063095808
SMOTE,svmrbf,std,0.224696886324538,0.18264230355244,0.148942299697382
SMOTE,lr,mean,0.776703441037505,0.77355324338352,0.791213689051507
SMOTE,lr,median,0.829358947479627,0.792418638396194,0.821589648452719
SMOTE,lr,std,0.202490491193329,0.201846831027532,0.188684261689774
ADASYN,xgboost,mean,0.822071166233722,0.837759912802744,0.843741917450461
ADASYN,xgboost,median,0.863222351269614,0.854544124516337,0.859717155364403
ADASYN,xgboost,std,0.191846310969578,0.153457344074337,0.14586559614287
ADASYN,mlp,mean,0.81943236340063,0.814133922594269,0.815593912444522
ADASYN,mlp,median,0.837546403161756,0.816615162343427,0.830790927869211
ADASYN,mlp,std,0.150596016077597,0.15186876012896,0.156444881137736
ADASYN,knn,mean,0.795657685667333,0.790279475723858,0.799686003604837
ADASYN,knn,median,0.853115178109939,0.823514752076656,0.838869329601474
ADASYN,knn,std,0.196298153739563,0.159398265178881,0.156897553696011
ADASYN,dt,mean,0.803897088672553,0.792361512422132,0.801279184415239
ADASYN,dt,median,0.819463218819981,0.813986697407109,0.820635612256695
ADASYN,dt,std,0.164306134847493,0.181978358633213,0.171086326421432
ADASYN,rf,mean,0.827663846217686,0.836046354125913,0.847398978807657
ADASYN,rf,median,0.876728544816585,0.871571992701833,0.883747318344159
ADASYN,rf,std,0.186188470520038,0.177393592936061,0.160324447009029
ADASYN,svmlinear,mean,0.752158082631228,0.751592366593843,0.775191416794006
ADASYN,svmlinear,median,0.834893043824219,0.745229182432918,0.774647708389934
ADASYN,svmlinear,std,0.264965731020181,0.214749211767506,0.202535651285448
ADASYN,svmrbf,mean,0.793990119315471,0.809001682401341,0.839277282099585
ADASYN,svmrbf,median,0.861024965048252,0.845683867425504,0.86651592480626
ADASYN,svmrbf,std,0.224839196934171,0.189767751383865,0.153537478377271
ADASYN,lr,mean,0.776956133351844,0.755348086918535,0.779623352283385
ADASYN,lr,median,0.829358947479627,0.749871611977958,0.781504460101116
ADASYN,lr,std,0.202758353841991,0.207014602736575,0.194418515822373
RandomOverSampler,xgboost,mean,0.821674234365123,0.833559031058169,0.833923052778417
RandomOverSampler,xgboost,median,0.863222351269614,0.866388456149438,0.865754644846099
RandomOverSampler,xgboost,std,0.191508915926414,0.166970451986756,0.168067415464308
RandomOverSampler,mlp,mean,0.819362708557427,0.819899577992684,0.827061792935136
RandomOverSampler,mlp,median,0.837546403161756,0.840103304609504,0.84302307328603
RandomOverSampler,mlp,std,0.150515907059611,0.1478735016689,0.139361321870344
RandomOverSampler,knn,mean,0.795657685667333,0.804346708340479,0.807592187525414
RandomOverSampler,knn,median,0.853115178109939,0.829223164532685,0.825256579551967
RandomOverSampler,knn,std,0.196298153739563,0.154448659362561,0.154300127346558
RandomOverSampler,dt,mean,0.803674167881842,0.786802810863039,0.789104287899914
RandomOverSampler,dt,median,0.819463218819981,0.821176065618632,0.818536420708471
RandomOverSampler,dt,std,0.164067607333416,0.19904780094744,0.195824359561276
RandomOverSampler,rf,mean,0.827489835139798,0.827316176181117,0.836028495769353
RandomOverSampler,rf,median,0.876728544816585,0.878490301182863,0.877729279164736
RandomOverSampler,rf,std,0.186027497457772,0.202608333904441,0.194372614578154
RandomOverSampler,svmlinear,mean,0.752000720158326,0.765720418472885,0.783980466063491
RandomOverSampler,svmlinear,median,0.834893043824219,0.766303469878979,0.807151417725568
RandomOverSampler,svmlinear,std,0.264819573874278,0.204051184277917,0.19570915196842
RandomOverSampler,svmrbf,mean,0.79383275684257,0.828375251297474,0.838376089714246
RandomOverSampler,svmrbf,median,0.861024965048252,0.861627518853291,0.886501580381448
RandomOverSampler,svmrbf,std,0.224696886324538,0.17042656382541,0.164875735241435
RandomOverSampler,lr,mean,0.776703441037505,0.770634850952309,0.787312583666018
RandomOverSampler,lr,median,0.829358947479627,0.76869441714193,0.809425621716649
RandomOverSampler,lr,std,0.202490491193329,0.198647678079429,0.192942720843493
SMOTETomek,xgboost,mean,0.821674234365123,0.843837946555077,
SMOTETomek,xgboost,median,0.863222351269614,0.862473618374692,
SMOTETomek,xgboost,std,0.191508915926414,0.146406394465436,
SMOTETomek,mlp,mean,0.819362708557427,0.817572085929133,
SMOTETomek,mlp,median,0.837546403161756,0.84032971736688,
