sampling_method,model,summary,HARS,Balance,[14]
SMOTEENN,xgboost,mean,0.889642404454,0.886755886610215,
SMOTEENN,xgboost,median,0.913730576090709,0.903899047817866,
SMOTEENN,xgboost,std,0.110661012051137,0.0943850000420739,
SMOTEENN,mlp,mean,0.873603754795036,0.870165252084977,
SMOTEENN,mlp,median,0.887431078364856,0.883359897412385,
SMOTEENN,mlp,std,0.110160509954701,0.114256200762037,
SMOTEENN,knn,mean,0.869354567666443,0.843429471686144,
SMOTEENN,knn,median,0.910900832933976,0.86236030711898,
SMOTEENN,knn,std,0.140861482138214,0.141692806035799,
SMOTEENN,dt,mean,0.869479291548969,0.85986854517654,
SMOTEENN,dt,median,0.893087886007834,0.879035347064657,
SMOTEENN,dt,std,0.0986633320622546,0.121727130374005,
SMOTEENN,rf,mean,0.902898371210768,0.896489139082227,
SMOTEENN,rf,median,0.925474915479589,0.910735154096272,
SMOTEENN,rf,std,0.0923303800835895,0.101078254519487,
SMOTEENN,svmlinear,mean,0.859065241153039,0.838323950186065,
SMOTEENN,svmlinear,median,0.881465178265267,0.835534284058388,
SMOTEENN,svmlinear,std,0.123670303935953,0.133326116012393,
SMOTEENN,svmrbf,mean,0.876951783092361,0.875444169116802,
SMOTEENN,svmrbf,median,0.917165284426828,0.923615427871317,
SMOTEENN,svmrbf,std,0.143717340985401,0.130436791942376,
SMOTEENN,lr,mean,0.853310993752203,0.840858047948122,
SMOTEENN,lr,median,0.866577324124936,0.833255685745177,
SMOTEENN,lr,std,0.120369034051562,0.122948545347766,
SMOTE,xgboost,mean,0.889642404454,0.897563816670403,0.897514793834768
SMOTE,xgboost,median,0.913730576090709,0.92066511794736,0.923722883138484
SMOTE,xgboost,std,0.110661012051137,0.0968852485861882,0.0958540659879101
SMOTE,mlp,mean,0.873603754795036,0.868711558249035,0.874866164593228
SMOTE,mlp,median,0.887431078364856,0.894206246700527,0.896846729409655
SMOTE,mlp,std,0.110160509954701,0.137506092318391,0.118179789931842
SMOTE,knn,mean,0.869354567666443,0.862197830565811,0.872469196497224
SMOTE,knn,median,0.910900832933976,0.881818646622286,0.903533439119719
SMOTE,knn,std,0.140861482138214,0.126130251651394,0.121763783639529
SMOTE,dt,mean,0.869479291548969,0.86005006994574,0.865950997619868
SMOTE,dt,median,0.893087886007834,0.889606890932455,0.889058426337398
SMOTE,dt,std,0.0986633320622546,0.124892341364998,0.114316727616396
SMOTE,rf,mean,0.902898371210768,0.900474499115976,0.910204191433121
SMOTE,rf,median,0.925474915479589,0.921742963112969,0.928017547998419
SMOTE,rf,std,0.0923303800835895,0.1219648578944,0.0936896018867658
SMOTE,svmlinear,mean,0.859065241153039,0.838334532850786,0.859645166756801
SMOTE,svmlinear,median,0.881465178265267,0.837909026563309,0.859933088872273
SMOTE,svmlinear,std,0.123670303935953,0.15164071951334,0.114625251490294
SMOTE,svmrbf,mean,0.876951783092361,0.876939294191893,0.90286716951136
SMOTE,svmrbf,median,0.917165284426828,0.924606838410936,0.925858890558446
SMOTE,svmrbf,std,0.143717340985401,0.162103366575934,0.0965485681822821
SMOTE,lr,mean,0.853310993752203,0.84096583986759,0.861728876839658
SMOTE,lr,median,0.866577324124936,0.849500644843401,0.85732953613436
SMOTE,lr,std,0.120369034051562,0.136895079686506,0.107124114101203
ADASYN,xgboost,mean,0.89019570342235,0.888153554253075,0.897566959578167
