sampling_method,model,summary,HARS,NoSampling,Balance,[14]
SMOTEENN,xgboost,mean,0.566740343977482,0.546845826346679,0.5991402598678,
SMOTEENN,xgboost,median,0.57085700211876,0.649088539020102,0.649433658256555,
SMOTEENN,xgboost,std,0.19258961618157,0.258212733513632,0.182709367068677,
SMOTEENN,mlp,mean,0.560740878185125,0.535484698321662,0.572957523999411,
SMOTEENN,mlp,median,0.623606025075233,0.594496008127248,0.630593439214731,
SMOTEENN,mlp,std,0.186979985467457,0.24308185953683,0.182042655176257,
SMOTEENN,knn,mean,0.52862704197814,0.448143765590329,0.521393390374413,
SMOTEENN,knn,median,0.557389488021845,0.555389474628276,0.579025599190484,
SMOTEENN,knn,std,0.184603932097232,0.277818824106764,0.181353551408974,
SMOTEENN,dt,mean,0.548419477786343,0.538297510106272,0.540166268397773,
SMOTEENN,dt,median,0.581259854841109,0.585871505670667,0.590027442923363,
SMOTEENN,dt,std,0.179879067014202,0.211280311951826,0.207157831625137,
SMOTEENN,rf,mean,0.545230841461892,0.492648602743714,0.578579004404203,
SMOTEENN,rf,median,0.558498185553632,0.593203832723139,0.655689596122585,
SMOTEENN,rf,std,0.204214739362325,0.290891983759582,0.212910396549419,
SMOTEENN,svmlinear,mean,0.510364784285362,0.331675018695751,0.508347361830562,
SMOTEENN,svmlinear,median,0.556993405173769,0.23742290727339,0.5865506956244,
SMOTEENN,svmlinear,std,0.241773859387116,0.321312592620556,0.23397838505432,
SMOTEENN,svmrbf,mean,0.501453326476571,0.377670751701609,0.555088898419752,
SMOTEENN,svmrbf,median,0.570026075329747,0.379198586323073,0.632623651152447,
SMOTEENN,svmrbf,std,0.238406764711179,0.316892221201763,0.208569836821178,
SMOTEENN,lr,mean,0.52136925221857,0.443426487728591,0.505653787963192,
SMOTEENN,lr,median,0.563677484657246,0.466619071266153,0.588541916752049,
SMOTEENN,lr,std,0.225190431685949,0.270644238408883,0.235969488640859,
SMOTE,xgboost,mean,0.581563566789664,0.546845826346679,0.597853515901287,0.594669634560847
SMOTE,xgboost,median,0.648417784138831,0.649088539020102,0.662376004492926,0.659240655693515
SMOTE,xgboost,std,0.228928730471501,0.258212733513632,0.216717607981348,0.212374591248514
SMOTE,mlp,mean,0.56566857576956,0.535484698321662,0.566029583117961,0.575763938540057
SMOTE,mlp,median,0.612020819220578,0.594496008127248,0.612717860043656,0.612228455048175
SMOTE,mlp,std,0.214548219087686,0.24308185953683,0.212792144664959,0.207373667084994
SMOTE,knn,mean,0.550785228345983,0.448143765590329,0.536626272090215,0.543536383293985
SMOTE,knn,median,0.593590143377139,0.555389474628276,0.597973233896984,0.584225044856125
SMOTE,knn,std,0.184745719899242,0.277818824106764,0.1813951144448,0.183994968156743
SMOTE,dt,mean,0.5396611146718,0.538297510106272,0.528922516268002,0.535322741330858
SMOTE,dt,median,0.593745488851379,0.585871505670667,0.578539080305287,0.582955295571107
SMOTE,dt,std,0.207978864059878,0.211280311951826,0.221798534776304,0.211365029151186
SMOTE,rf,mean,0.569533123866496,0.492648602743714,0.58261571583092,0.58220305805103
SMOTE,rf,median,0.642862054503009,0.593203832723139,0.65857963248817,0.655185810578625
SMOTE,rf,std,0.239990951815208,0.290891983759582,0.242798613725622,0.240962622664471
SMOTE,svmlinear,mean,0.502257235450425,0.331675018695751,0.518018936302201,0.53244396776568
SMOTE,svmlinear,median,0.564296903004244,0.23742290727339,0.586674283013173,0.605765845086664
SMOTE,svmlinear,std,0.253097810942536,0.321312592620556,0.240871379042252,0.232477903053519
SMOTE,svmrbf,mean,0.533549897325551,0.377670751701609,0.574786893288204,0.578060969462132
SMOTE,svmrbf,median,0.615651495044883,0.379198586323073,0.655527126886759,0.633830179171301
SMOTE,svmrbf,std,0.252512801762518,0.316892221201763,0.217081495795512,0.214638667684531
SMOTE,lr,mean,0.534829272204852,0.443426487728591,0.521203647364843,0.530567796053771
SMOTE,lr,median,0.597236128549702,0.466619071266153,0.604862111416088,0.612739789364607
SMOTE,lr,std,0.2281820601309,0.270644238408883,0.242633185767785,0.23299122162121
ADASYN,xgboost,mean,0.586235546188785,0.546845826346679,0.596942737253351,0.598491083599419
ADASYN,xgboost,median,0.645921400755438,0.649088539020102,0.660623670914665,0.653172848659617
ADASYN,xgboost,std,0.224795236555632,0.258212733513632,0.218751331747506,0.212650763183381
ADASYN,mlp,mean,0.570508408728769,0.535484698321662,0.567667008606464,0.567485139236017
ADASYN,mlp,median,0.623755477104276,0.594496008127248,0.604614376056454,0.606848291816975
ADASYN,mlp,std,0.219831920821877,0.24308185953683,0.207407137525904,0.213515836365062
ADASYN,knn,mean,0.544963029487381,0.448143765590329,0.532050372815507,0.537749842108122
ADASYN,knn,median,0.596901892426951,0.555389474628276,0.591360910119416,0.591629984447266
ADASYN,knn,std,0.192154983364327,0.277818824106764,0.180942882011752,0.182693465718562
ADASYN,dt,mean,0.543919020525102,0.538297510106272,0.533022445873242,0.536131529653052
ADASYN,dt,median,0.611675388579705,0.585871505670667,0.543259456846103,0.576310179420445
ADASYN,dt,std,0.210573620200866,0.211280311951826,0.213977219609211,0.211082877311164
ADASYN,rf,mean,0.570700768120696,0.492648602743714,0.578744836135989,0.579362586404357
ADASYN,rf,median,0.63387633104444,0.593203832723139,0.665493570068662,0.653302427747043
ADASYN,rf,std,0.245748619494666,0.290891983759582,0.247857718004068,0.243638408010025
ADASYN,svmlinear,mean,0.491039249337442,0.331675018695751,0.511547760355712,0.52414048682708
ADASYN,svmlinear,median,0.58618701316195,0.23742290727339,0.586168445491671,0.59757227379208
ADASYN,svmlinear,std,0.265916468552619,0.321312592620556,0.238947433683946,0.235182322748283
ADASYN,svmrbf,mean,0.538988195279973,0.377670751701609,0.566670060353504,0.577508240057815
ADASYN,svmrbf,median,0.6198576961607,0.379198586323073,0.647346502475144,0.627158875619509
ADASYN,svmrbf,std,0.253541251463867,0.316892221201763,0.219369559348835,0.216711453910221
ADASYN,lr,mean,0.536047697576611,0.443426487728591,0.513546143464556,0.528295072830289
ADASYN,lr,median,0.607233615303412,0.466619071266153,0.591011331095455,0.612805063189861
ADASYN,lr,std,0.230119083791388,0.270644238408883,0.241439212093666,0.234449215430421
RandomOverSampler,xgboost,mean,0.555237784012544,0.546845826346679,0.575469093282942,0.570875437883875
RandomOverSampler,xgboost,median,0.648558022011236,0.649088539020102,0.653045108637538,0.650484608725061
RandomOverSampler,xgboost,std,0.255567396677077,0.258212733513632,0.239870408502884,0.243276747239488
RandomOverSampler,mlp,mean,0.568980138799062,0.535484698321662,0.576815998412041,0.570605875655699
RandomOverSampler,mlp,median,0.632383985924116,0.594496008127248,0.623417774742816,0.615202525239666
RandomOverSampler,mlp,std,0.213000657498623,0.24308185953683,0.201416210363732,0.210443863222059
RandomOverSampler,knn,mean,0.536914740326354,0.448143765590329,0.543243729123784,0.542955364016816
RandomOverSampler,knn,median,0.595826364787384,0.555389474628276,0.595129870114438,0.587709439778647
RandomOverSampler,knn,std,0.190316380843184,0.277818824106764,0.183065593443858,0.185014979816816
RandomOverSampler,dt,mean,0.530836574744309,0.538297510106272,0.526544640888537,0.526819137496354
RandomOverSampler,dt,median,0.592748574270838,0.585871505670667,0.608957145541863,0.603409521692278
RandomOverSampler,dt,std,0.221501530508525,0.211280311951826,0.234532268573507,0.233903420236915
RandomOverSampler,rf,mean,0.545502597805613,0.492648602743714,0.541211708864393,0.544850464228869
RandomOverSampler,rf,median,0.626631929242302,0.593203832723139,0.663666615564734,0.644495077769447
RandomOverSampler,rf,std,0.264151725057,0.290891983759582,0.288891211353279,0.283083081092832
RandomOverSampler,svmlinear,mean,0.490474913442108,0.331675018695751,0.516952677717459,0.528750563067203
RandomOverSampler,svmlinear,median,0.571895540909661,0.23742290727339,0.588709112160277,0.59616701360717
RandomOverSampler,svmlinear,std,0.262171033169127,0.321312592620556,0.239759642970999,0.231012575261317
RandomOverSampler,svmrbf,mean,0.516327802504529,0.377670751701609,0.562355024445112,0.569518548185052
RandomOverSampler,svmrbf,median,0.616709935961193,0.379198586323073,0.630074432119509,0.637330982669403
RandomOverSampler,svmrbf,std,0.27195995590453,0.316892221201763,0.225318828073716,0.225420809949241
RandomOverSampler,lr,mean,0.523540262225766,0.443426487728591,0.516318780813371,0.527035037554502
RandomOverSampler,lr,median,0.592244885846323,0.466619071266153,0.600209486599924,0.610981078466722
RandomOverSampler,lr,std,0.23856169716223,0.270644238408883,0.243453112406855,0.236181129996168
SMOTETomek,xgboost,mean,0.582839820932568,0.546845826346679,0.597108923808766,
SMOTETomek,xgboost,median,0.648886655799023,0.649088539020102,0.655970314735288,
