sampling_method,model,summary,HARS,Balance,[14]
SMOTE,dt,mean,0.95892704112714,0.960055464603565,0.963411423444462
SMOTE,dt,median,0.970520906903148,0.971235979470179,0.971235979470179
SMOTE,dt,std,0.0376174656133903,0.0360192088631206,0.0351816686090788
SMOTE,rf,mean,0.978778581214538,0.983189654982897,0.984876314549534
SMOTE,rf,median,0.991995490417136,0.990674152678982,0.993730019032772
SMOTE,rf,std,0.0246187856494279,0.0207907224878794,0.0217176668593085
SMOTE,svmlinear,mean,0.92263796130132,0.919967905827163,0.921829077155106
SMOTE,svmlinear,median,0.948417954694225,0.948881481304884,0.945655933775106
SMOTE,svmlinear,std,0.0985553852396732,0.0998897611918494,0.0987276650052755
SMOTE,svmrbf,mean,0.944926663994222,0.965261657652698,0.967423026827669
SMOTE,svmrbf,median,0.98914198936978,0.98914198936978,0.98914198936978
SMOTE,svmrbf,std,0.0845635226512104,0.0379749720493591,0.0332873836175536
SMOTE,lr,mean,0.913574579900839,0.922136146935376,0.921091992271845
SMOTE,lr,median,0.933729636794978,0.935208363997745,0.937465788075698
SMOTE,lr,std,0.0975336765486869,0.0967916544434766,0.0983699132345206
ADASYN,xgboost,mean,0.977728429864172,0.97748124775101,0.979407560261482
ADASYN,xgboost,median,0.98324344139403,0.978970488469827,0.980775263275823
ADASYN,xgboost,std,0.0280113845119356,0.0225104650412484,0.0212825421461199
ADASYN,mlp,mean,0.969200836533736,0.963051916805742,0.964976214214398
ADASYN,mlp,median,0.984600189915431,0.968923791322375,0.97726234800356
ADASYN,mlp,std,0.0369168493984646,0.0370169697371402,0.0342372405128607
ADASYN,knn,mean,0.966515665347075,0.961268579243873,0.964828241362703
ADASYN,knn,median,0.983264827798716,0.975734418528797,0.978608396796948
ADASYN,knn,std,0.0372440066228103,0.0450839132252005,0.0410223519934709
ADASYN,dt,mean,0.959859255342837,0.963534222242015,0.962833278824123
ADASYN,dt,median,0.974540660048861,0.971235979470179,0.979062373590496
ADASYN,dt,std,0.0380579886783166,0.0346525696645655,0.0375932963905235
ADASYN,rf,mean,0.979506263903889,0.985158745572813,0.985111307418014
