sampling_method,model,summary,HARS,NoSampling,Balance,[14]
SMOTEENN,xgboost,mean,0.6818493755739,0.666679231888583,0.697579937721603,
SMOTEENN,xgboost,median,0.70312397159795,0.716502040662156,0.724906195035648,
SMOTEENN,xgboost,std,0.206939477559821,0.257451894524585,0.193940190343064,
SMOTEENN,mlp,mean,0.682533446435405,0.651671161341223,0.673422672342075,
SMOTEENN,mlp,median,0.708383585309637,0.726722055552374,0.700293002748375,
SMOTEENN,mlp,std,0.204485746962175,0.244551329885727,0.199962375518736,
SMOTEENN,knn,mean,0.654615614917076,0.597195866884648,0.627962659716697,
SMOTEENN,knn,median,0.665019292202713,0.677602856208679,0.666495667910259,
SMOTEENN,knn,std,0.21754374560908,0.297148051071126,0.210959757694641,
SMOTEENN,dt,mean,0.660497494842352,0.652880672767717,0.648545329200626,
SMOTEENN,dt,median,0.672092100334026,0.664191165951308,0.686064492951504,
SMOTEENN,dt,std,0.20459975050233,0.222650868805968,0.221303897430412,
SMOTEENN,rf,mean,0.68285352674445,0.641572468129781,0.689331481025174,
SMOTEENN,rf,median,0.721538378507778,0.711820151108181,0.712380632316906,
SMOTEENN,rf,std,0.216949909827415,0.295309756046019,0.222467968001829,
SMOTEENN,svmlinear,mean,0.651320665031173,0.52991656364901,0.625082015898267,
SMOTEENN,svmlinear,median,0.679190580893857,0.650058985453515,0.692552610510573,
SMOTEENN,svmlinear,std,0.24113177545864,0.356722889912989,0.244979426759237,
SMOTEENN,svmrbf,mean,0.667043275914235,0.563788188077538,0.666261799120741,
SMOTEENN,svmrbf,median,0.688453250944728,0.665235419389745,0.69752550326044,
SMOTEENN,svmrbf,std,0.240599350360508,0.34919052026801,0.228443625413155,
SMOTEENN,lr,mean,0.655975112507759,0.595327572908309,0.624771746425102,
SMOTEENN,lr,median,0.682333168028119,0.654038851366954,0.681105473995543,
SMOTEENN,lr,std,0.231875600690337,0.290470023202819,0.244940940865525,
SMOTE,xgboost,mean,0.695883733712408,0.666679231888583,0.70240942676558,0.699765504123232
SMOTE,xgboost,median,0.735591738728481,0.716502040662156,0.762874418039406,0.712240609356158
SMOTE,xgboost,std,0.226448363611094,0.257451894524585,0.219502545582507,0.216787565927197
SMOTE,mlp,mean,0.674642435071212,0.651671161341223,0.666965542398731,0.677278847549883
SMOTE,mlp,median,0.719391193476015,0.726722055552374,0.713875543237235,0.722765821896815
SMOTE,mlp,std,0.214790095778086,0.244551329885727,0.224381057973717,0.21634149379559
SMOTE,knn,mean,0.663862061033107,0.597195866884648,0.646582893097001,0.655915964192053
SMOTE,knn,median,0.692127643032403,0.677602856208679,0.66591124554996,0.694059322683646
SMOTE,knn,std,0.215710567903043,0.297148051071126,0.209591717326245,0.212346567348369
SMOTE,dt,mean,0.653591377334689,0.652880672767717,0.641372458807532,0.648081958681544
SMOTE,dt,median,0.649777490471687,0.664191165951308,0.652816021820366,0.648817145470913
SMOTE,dt,std,0.222555487633484,0.222650868805968,0.233277214915421,0.224748676258053
SMOTE,rf,mean,0.695629786958859,0.641572468129781,0.693216197971558,0.698469086780584
SMOTE,rf,median,0.738602500025759,0.711820151108181,0.720525472293212,0.735794705937567
SMOTE,rf,std,0.240849441697183,0.295309756046019,0.245493354173706,0.241806532100795
SMOTE,svmlinear,mean,0.648668468189793,0.52991656364901,0.62981850032636,0.650887665282468
SMOTE,svmlinear,median,0.698201670684092,0.650058985453515,0.691439289195079,0.700968043576963
SMOTE,svmlinear,std,0.245411465901568,0.356722889912989,0.251436215986967,0.241370632211532
SMOTE,svmrbf,mean,0.688326427954141,0.563788188077538,0.677983380957519,0.695072278018561
SMOTE,svmrbf,median,0.712856436676238,0.665235419389745,0.715019389079932,0.723304310555983
SMOTE,svmrbf,std,0.238139174620854,0.34919052026801,0.238991330332258,0.228612624495175
SMOTE,lr,mean,0.655545896565368,0.595327572908309,0.632874462952385,0.651159605281688
SMOTE,lr,median,0.699435691994805,0.654038851366954,0.697345597013078,0.697087945591943
SMOTE,lr,std,0.230364796427474,0.290470023202819,0.247579511380457,0.241491131013048
ADASYN,xgboost,mean,0.694141140426377,0.666679231888583,0.695561525353654,0.701753313854255
ADASYN,xgboost,median,0.740126330980919,0.716502040662156,0.74178218192038,0.721183878262833
ADASYN,xgboost,std,0.225830798690985,0.257451894524585,0.220642393301711,0.215362258850693
ADASYN,mlp,mean,0.673945408592673,0.651671161341223,0.667474762501422,0.666877959677953
ADASYN,mlp,median,0.741756808502667,0.726722055552374,0.724295786076906,0.720232857782745
ADASYN,mlp,std,0.216097160812886,0.244551329885727,0.214779669986276,0.221684196809487
ADASYN,knn,mean,0.656751081447991,0.597195866884648,0.638197225492144,0.646876070181168
ADASYN,knn,median,0.684438127180132,0.677602856208679,0.659494484624358,0.677492732298251
ADASYN,knn,std,0.211118249694706,0.297148051071126,0.206181834324427,0.208606370797124
ADASYN,dt,mean,0.647798656195953,0.652880672767717,0.641629250363521,0.649740259974625
ADASYN,dt,median,0.643599542806252,0.664191165951308,0.645434497460517,0.643459069169648
ADASYN,dt,std,0.220903621381028,0.222650868805968,0.228732157688639,0.22496906098659
ADASYN,rf,mean,0.691759852552705,0.641572468129781,0.685485583738185,0.695141877263616
ADASYN,rf,median,0.727696621451482,0.711820151108181,0.723238254364785,0.720215517623672
ADASYN,rf,std,0.242097286928049,0.295309756046019,0.248113058794581,0.243372184724701
ADASYN,svmlinear,mean,0.641510285275371,0.52991656364901,0.612689957245048,0.636160532095915
ADASYN,svmlinear,median,0.705031855131613,0.650058985453515,0.667578600412626,0.701116094814805
ADASYN,svmlinear,std,0.250319960118361,0.356722889912989,0.24686754118527,0.242759046356196
ADASYN,svmrbf,mean,0.68672575694566,0.563788188077538,0.662449901628998,0.688986903320741
ADASYN,svmrbf,median,0.717032849110803,0.665235419389745,0.713286512862528,0.742650401276467
ADASYN,svmrbf,std,0.237072709914333,0.34919052026801,0.237075668656601,0.226727155005356
ADASYN,lr,mean,0.651411683314165,0.595327572908309,0.616648338293484,0.641388473650608
ADASYN,lr,median,0.689608303651761,0.654038851366954,0.676538353187233,0.699933992861533
ADASYN,lr,std,0.231339531642037,0.290470023202819,0.244399300972088,0.240642160917809
RandomOverSampler,xgboost,mean,0.680656418099358,0.666679231888583,0.687616577862505,0.68580487724849
RandomOverSampler,xgboost,median,0.751546578013321,0.716502040662156,0.769632938173279,0.749542529752922
RandomOverSampler,xgboost,std,0.248182310147312,0.257451894524585,0.238368397212861,0.241419919156225
RandomOverSampler,mlp,mean,0.676400824635247,0.651671161341223,0.675053937042733,0.677473619388955
RandomOverSampler,mlp,median,0.708200207815632,0.726722055552374,0.699153674307652,0.716353704225924
RandomOverSampler,mlp,std,0.212684364892463,0.244551329885727,0.211407817529242,0.217749284817916
RandomOverSampler,knn,mean,0.656695363318095,0.597195866884648,0.652086945153128,0.653667587935012
RandomOverSampler,knn,median,0.673306303918371,0.677602856208679,0.669311470778829,0.678266874435408
RandomOverSampler,knn,std,0.210237395211408,0.297148051071126,0.206440466420011,0.209075102133566
RandomOverSampler,dt,mean,0.642112335224148,0.652880672767717,0.636396405639351,0.640137330557309
RandomOverSampler,dt,median,0.661295687111538,0.664191165951308,0.654742229295404,0.648351695011386
RandomOverSampler,dt,std,0.23410951725184,0.222650868805968,0.243425981480126,0.240048006317738
RandomOverSampler,rf,mean,0.676684778094171,0.641572468129781,0.66503433829182,0.674824881812009
RandomOverSampler,rf,median,0.719163682934239,0.711820151108181,0.719676364563378,0.721506038331218
RandomOverSampler,rf,std,0.262240141405593,0.295309756046019,0.28247201312036,0.27653138218821
RandomOverSampler,svmlinear,mean,0.649041579884443,0.52991656364901,0.626948956906253,0.645273803432171
RandomOverSampler,svmlinear,median,0.683098330937829,0.650058985453515,0.684167027242325,0.706038064718843
RandomOverSampler,svmlinear,std,0.250555768743646,0.356722889912989,0.245555102947394,0.240115575288291
RandomOverSampler,svmrbf,mean,0.680046744749752,0.563788188077538,0.677932321954566,0.687557489048009
RandomOverSampler,svmrbf,median,0.714945449724558,0.665235419389745,0.717939323335161,0.724917785042318
RandomOverSampler,svmrbf,std,0.257847403377893,0.34919052026801,0.236049175472527,0.236288332067481
