sampling_method,model,summary,HARS,Balance,[14]
SMOTETomek,svmlinear,mean,0.891295588810721,0.889748558403322,
SMOTETomek,svmlinear,median,0.924207980714432,0.916366048019576,
SMOTETomek,svmlinear,std,0.123261515208017,0.103287497209202,
SMOTETomek,dt,mean,0.908229839331654,0.912244490678119,
SMOTETomek,dt,median,0.926572835992321,0.928956817795058,
SMOTETomek,dt,std,0.0816336986228925,0.0757788825997971,
SMOTETomek,svmrbf,mean,0.932615033609979,0.944384663291045,
SMOTETomek,svmrbf,median,0.94550253979736,0.943608564279822,
SMOTETomek,svmrbf,std,0.0698772251079886,0.0456360234128804,
SMOTETomek,rf,mean,0.941714060981275,0.951102449669575,
SMOTETomek,rf,median,0.962603863898976,0.967342078769119,
SMOTETomek,rf,std,0.0632925597329977,0.0486671471064877,
SMOTETomek,xgboost,mean,0.931821843180269,0.935712959640976,
SMOTETomek,xgboost,median,0.95454798013559,0.954387389162002,
SMOTETomek,xgboost,std,0.0736812181931719,0.0627675083144026,
SMOTETomek,mlp,mean,0.917993838140179,0.926014829354815,
SMOTETomek,mlp,median,0.943852713205426,0.945731055138002,
SMOTETomek,mlp,std,0.0843773093088769,0.0666402405555369,
SMOTETomek,lr,mean,0.884612724573113,0.892554406746286,
SMOTETomek,lr,median,0.917910520541059,0.920009366167252,
SMOTETomek,lr,std,0.121805065475132,0.0982808136373019,
SMOTETomek,knn,mean,0.927358473300473,0.918699332442045,
SMOTETomek,knn,median,0.93487764517481,0.922352702699825,
SMOTETomek,knn,std,0.0652764215426285,0.0710287170368331,
ADASYN,svmlinear,mean,0.89162461943588,0.874440309012556,0.890089103798139
ADASYN,svmlinear,median,0.924207980714432,0.904350215162896,0.910042977023572
ADASYN,svmlinear,std,0.123544477580702,0.117826620259893,0.102300567266663
ADASYN,dt,mean,0.908695946439503,0.911781746364395,0.914289091361098
ADASYN,dt,median,0.926572835992321,0.936498810583793,0.933178134734675
ADASYN,dt,std,0.0820345913030912,0.0835072058790037,0.0823472804689309
ADASYN,svmrbf,mean,0.932944064235137,0.932358243061095,0.94514021435631
ADASYN,svmrbf,median,0.94550253979736,0.940421088197797,0.9456712271813
ADASYN,svmrbf,std,0.0701724866036903,0.0633742890204156,0.0482977368124962
ADASYN,rf,mean,0.942077902325951,0.945006025492424,0.950459564406727
ADASYN,rf,median,0.962603863898976,0.957420776478311,0.966394553863478
ADASYN,rf,std,0.0636175427431878,0.0598617003339743,0.0525650317704153
ADASYN,xgboost,mean,0.932651791632794,0.931577326840748,0.93625737433975
ADASYN,xgboost,median,0.95454798013559,0.955464075781223,0.956063127530227
ADASYN,xgboost,std,0.0742574382554675,0.0737548256308937,0.067795879297249
ADASYN,mlp,mean,0.918139480085059,0.916805189354792,0.921472963788365
ADASYN,mlp,median,0.943852713205426,0.94233916374182,0.944597965335384
ADASYN,mlp,std,0.0845050917033524,0.0746674458827736,0.072448857384417
